disease,cure
Low Testosterone  fatigue  reduced libido  muscle loss,"Testosterone replacement therapy, lifestyle changes, and treating underlying causes."
Menopause  hot flashes  irregular periods  mood changes,"Hormone replacement therapy, lifestyle changes, medications for symptoms, and regular check-ups."
Endometriosis  pelvic pain  heavy periods  infertility,"Pain relievers, hormonal therapy, surgery, and fertility treatments."
Polycystic Ovary Syndrome (PCOS)  irregular periods  weight gain  excess hair,"Lifestyle changes, birth control pills, metformin, and fertility treatments."
Uterine Fibroids  heavy periods  pelvic pressure  frequent urination,"Medications, uterine artery embolization, and surgery (myomectomy or hysterectomy)."
Ovarian Cysts  pelvic pain  bloating  irregular periods,"Watchful waiting, birth control pills, and surgery if large or causing symptoms."
Cervical Cancer  abnormal bleeding  pelvic pain  discharge,"Surgery, radiation, chemotherapy, and regular Pap smears for prevention."
Breast Cancer  lump  nipple discharge  skin changes,"Surgery, chemotherapy, radiation, hormone therapy, and targeted therapy."
Osteoarthritis Knee  knee pain  stiffness  swelling,"Pain relievers, physical therapy, injections, and knee replacement if severe."
Osteoarthritis Hip  hip pain  stiffness  limited movement,"Pain relievers, physical therapy, injections, and hip replacement if severe."
Rheumatoid Arthritis Hands  joint pain  swelling  deformity,"DMARDs, biologics, corticosteroids, and hand therapy."
Gout Foot  severe foot pain  swelling  redness,"NSAIDs, colchicine, corticosteroids, and dietary changes."
Plantar Fasciitis  heel pain  morning stiffness,"Stretching, orthotics, night splints, and corticosteroid injections."
Bunions  toe deformity  pain  difficulty wearing shoes,"Proper footwear, padding, and surgery if severe."
Hammertoe  toe deformity  pain  corns,"Proper footwear, padding, and surgery if severe."
Ingrown Toenail  pain  redness  infection,"Warm soaks, proper nail trimming, antibiotics, and sometimes surgery."
Athlete's Foot  itching  scaling  cracking,"Antifungal creams, keeping feet dry, and good hygiene."
Ringworm  circular rash  itching  scaling,"Antifungal creams or oral medications, and good hygiene."
Jock Itch  itching  redness  rash,"Antifungal creams, keeping area dry, and good hygiene."
Nail Fungus  thickened nails  discoloration  brittleness,"Antifungal medications (topical or oral), and sometimes nail removal."
Impetigo  blisters  crusting  itching,"Antibiotic creams or oral antibiotics, and good hygiene."
Scabies  intense itching  rash  burrows,"Permethrin cream, treating contacts, and washing bedding."
Lice  itching  visible lice  nits,"Medicated shampoos, combing, and treating contacts."
Hives  raised welts  itching  swelling,"Antihistamines, avoiding triggers, and corticosteroids if severe."
Contact Dermatitis  rash  itching  redness,"Avoiding irritants, topical corticosteroids, and antihistamines."
Seborrheic Dermatitis  scaly patches  redness  dandruff,"Antifungal shampoos, topical corticosteroids, and medicated creams."
Rosacea  facial redness  visible blood vessels  bumps,"Topical medications, oral antibiotics, laser therapy, and avoiding triggers."
Vitiligo  white patches  loss of pigmentation,"Topical corticosteroids, light therapy, and sometimes depigmentation."
Melasma  brown patches  facial discoloration,"Sun protection, topical lightening agents, and chemical peels."
Skin Cancer  changing mole  new growth  non-healing sore,"Surgical removal, Mohs surgery, radiation, and regular skin checks."
Basal Cell Carcinoma  pearly bump  bleeding  slow growth,"Surgical removal, Mohs surgery, and regular monitoring."
Squamous Cell Carcinoma  scaly patch  ulcer  rapid growth,"Surgical removal, Mohs surgery, and sometimes radiation."
Melanoma  changing mole  irregular borders  multiple colors,"Surgical removal, sentinel node biopsy, immunotherapy, and regular monitoring."
Lipoma  soft lump  movable  painless,Observation or surgical removal if bothersome.
Sebaceous Cyst  bump  slow growth  possible infection,Drainage or surgical removal if infected or bothersome.
Moles  pigmented spots  various sizes,"Regular monitoring, and removal if changing or suspicious."
Warts  rough bumps  various locations,"Topical treatments, cryotherapy, and sometimes surgical removal."
Cold Sores  blisters  tingling  crusting,"Antiviral medications, pain relievers, and avoiding triggers."
Shingles  painful rash  blisters  burning,"Antiviral medications, pain relievers, and sometimes corticosteroids."
Chickenpox  itchy rash  blisters  fever,"Symptomatic treatment, antiviral medications for severe cases, and vaccination for prevention."
Scarlet Fever  rash  sore throat  fever,"Antibiotics (penicillin), rest, and hydration."
Fifth Disease  rash  fever  joint pain,"Supportive care, rest, and avoiding contact with pregnant women."
Hand Foot Mouth Disease  rash  blisters  fever,"Supportive care, pain relievers, and good hygiene."
Molluscum Contagiosum  small bumps  central dimple  spread,"Observation, topical treatments, cryotherapy, and sometimes removal."
Boils  painful bump  pus  redness,"Warm compresses, antibiotics, and sometimes drainage."
Carbuncles  multiple boils  severe infection  fever,"Antibiotics, drainage, and sometimes hospitalization."
Folliculitis  red bumps  itching  pus,"Antibiotics, warm compresses, and good hygiene."
Cellulitis  red swollen skin  pain  fever,"Antibiotics, wound care, and sometimes hospitalization."
Erysipelas  raised red patch  sharp border  fever,"Antibiotics, rest, and elevation."
Necrotizing Fasciitis  severe pain  swelling  fever,"Immediate surgery, IV antibiotics, and intensive care."
MRSA Infection  resistant infection  abscesses  fever,"Drainage, specific antibiotics (vancomycin), and isolation."
Lyme Disease Early  bullseye rash  flu-like symptoms,"Antibiotics (doxycycline, amoxicillin) for 2-4 weeks."
Lyme Disease Late  joint pain  neurological symptoms  fatigue,"Longer antibiotic courses, and sometimes IV antibiotics."
Rocky Mountain Spotted Fever  rash  fever  headache,"Antibiotics (doxycycline) immediately, and supportive care."
West Nile Virus  fever  headache  body aches,"Supportive care, and monitoring for severe neurological complications."
Yellow Fever  fever  jaundice  bleeding,"Supportive care, vaccination for prevention, and sometimes hospitalization."
Chikungunya  fever  severe joint pain  rash,"Supportive care, pain relievers, and rest."
Japanese Encephalitis  fever  headache  confusion,"Supportive care, vaccination for prevention, and sometimes intensive care."
Polio  fever  paralysis  muscle weakness,"Supportive care, physical therapy, and vaccination for prevention."
Smallpox  fever  rash  pustules,"Supportive care, isolation, and vaccination (eradicated but preparedness important)."
Anthrax  skin lesions  fever  breathing problems,"Antibiotics (ciprofloxacin, doxycycline), and sometimes antitoxin."
Botulism  muscle weakness  difficulty breathing  paralysis,"Antitoxin, supportive care, and sometimes mechanical ventilation."
Tetanus  muscle stiffness  lockjaw  spasms,"Tetanus immunoglobulin, antibiotics, wound care, and vaccination."
Diphtheria  sore throat  difficulty breathing  gray membrane,"Antitoxin, antibiotics, and vaccination for prevention."
Whooping Cough  severe cough  whooping sound  vomiting,"Antibiotics, supportive care, and vaccination (DTaP) for prevention."
Tuberculosis Latent  positive test  no symptoms,Preventive treatment with isoniazid or rifampin to prevent active TB.
Tuberculosis Active  cough  weight loss  night sweats,"Multi-drug antibiotic therapy for 6-9 months, and monitoring."
MDR-TB  resistant tuberculosis  treatment failure,"Specialized antibiotic regimens, longer treatment, and sometimes surgery."
XDR-TB  extensively resistant  very difficult to treat,"Highly specialized treatment, experimental drugs, and intensive monitoring."
Pneumonia Bacterial  cough  fever  chest pain,"Antibiotics, rest, hydration, and sometimes hospitalization."
Pneumonia Viral  cough  fever  fatigue,"Supportive care, rest, hydration, and sometimes antiviral medications."
Pneumonia Fungal  cough  fever  in immunocompromised,"Antifungal medications, and treating underlying immune issues."
Walking Pneumonia  mild symptoms  persistent cough,"Antibiotics (azithromycin), rest, and hydration."
Legionnaires Disease  fever  cough  muscle aches,"Antibiotics (azithromycin, levofloxacin), and sometimes hospitalization."
Q Fever  fever  headache  pneumonia,"Antibiotics (doxycycline), and monitoring for chronic complications."
Histoplasmosis  fever  cough  chest pain,"Antifungal medications, and sometimes long-term treatment."
Blastomycosis  fever  cough  skin lesions,"Antifungal medications (itraconazole, amphotericin B), and monitoring."
Coccidioidomycosis  fever  cough  rash,"Antifungal medications, and sometimes long-term treatment."
Aspergillosis  cough  fever  breathing problems,"Antifungal medications, and sometimes surgery."
Candidiasis Oral  white patches  soreness,"Antifungal medications (nystatin, fluconazole), and good oral hygiene."
Candidiasis Vaginal  itching  discharge  irritation,"Antifungal creams or suppositories, and sometimes oral medications."
Candidiasis Systemic  fever  organ involvement,"IV antifungal medications, and intensive care."
Cryptococcosis  fever  headache  confusion,"Antifungal medications (amphotericin B, fluconazole), and sometimes long-term."
Mucormycosis  facial pain  black lesions  fever,"Immediate surgery, IV antifungal medications, and intensive care."
Pneumocystis Pneumonia  cough  fever  difficulty breathing,"Antibiotics (trimethoprim-sulfamethoxazole), and treating underlying immune issues."
Toxoplasmosis  flu-like symptoms  eye problems,"Antibiotics (pyrimethamine, sulfadiazine), and monitoring."
Malaria Falciparum  severe fever  chills  complications,"Immediate antimalarial treatment (artemisinin-based), and intensive care."
Malaria Vivax  fever  chills  relapses,"Antimalarial treatment, and primaquine to prevent relapses."
Malaria Prevention  travel to endemic areas,"Antimalarial prophylaxis (atovaquone-proguanil, doxycycline), and mosquito prevention."
Babesiosis  fever  fatigue  hemolytic anemia,"Antibiotics (atovaquone, azithromycin), and sometimes exchange transfusion."
Leishmaniasis  skin ulcers  fever  organ damage,"Antimonial medications, miltefosine, and sometimes surgery."
Trypanosomiasis African  fever  neurological symptoms,"Medications (pentamidine, suramin), and intensive monitoring."
Trypanosomiasis American  fever  heart problems,"Medications (benznidazole, nifurtimox), and cardiac monitoring."
Amebiasis  diarrhea  abdominal pain  bloody stools,"Antibiotics (metronidazole, tinidazole), and hydration."
Giardiasis  diarrhea  bloating  gas,"Antibiotics (metronidazole, tinidazole), and hydration."
Cryptosporidiosis  diarrhea  abdominal pain  dehydration,"Supportive care, nitazoxanide, and hydration."
Cyclosporiasis  diarrhea  fatigue  loss of appetite,"Antibiotics (trimethoprim-sulfamethoxazole), and hydration."
Trichomoniasis  discharge  itching  discomfort,"Antibiotics (metronidazole, tinidazole), and treating partners."
Chlamydia  discharge  pain  sometimes asymptomatic,"Antibiotics (azithromycin, doxycycline), and treating partners."
Gonorrhea  discharge  pain  sometimes asymptomatic,"Antibiotics (ceftriaxone, azithromycin), and treating partners."
Syphilis Early  chancre  rash  sometimes asymptomatic,"Antibiotics (penicillin), and regular follow-up."
Syphilis Late  organ damage  neurological symptoms,"Longer antibiotic courses, and monitoring for complications."
Genital Herpes  blisters  pain  recurrences,"Antiviral medications (acyclovir, valacyclovir), and managing outbreaks."
Genital Warts  bumps  sometimes asymptomatic,"Topical treatments, cryotherapy, and sometimes surgical removal."
Hepatitis A  fatigue  jaundice  nausea,"Supportive care, rest, hydration, and vaccination for prevention."
Hepatitis B Acute  fatigue  jaundice  abdominal pain,"Supportive care, and sometimes antiviral medications."
Hepatitis B Chronic  fatigue  liver problems  long-term,"Antiviral medications (tenofovir, entecavir), and regular monitoring."
Hepatitis C Acute  fatigue  jaundice  sometimes asymptomatic,"Antiviral medications, and monitoring."
Hepatitis C Chronic  fatigue  liver problems  long-term,"Direct-acting antivirals (sofosbuvir, ledipasvir), and regular monitoring."
Hepatitis D  requires Hepatitis B  severe liver disease,"Treating Hepatitis B, and sometimes liver transplant."
Hepatitis E  fatigue  jaundice  usually self-limiting,"Supportive care, rest, hydration, and monitoring."
HIV Acute  flu-like symptoms  rash  sometimes asymptomatic,"Immediate antiretroviral therapy (ART), and regular monitoring."
HIV Chronic  weakened immune system  opportunistic infections,"Antiretroviral therapy (ART), regular monitoring, and preventing infections."
AIDS  severe immune deficiency  opportunistic infections,"Intensive antiretroviral therapy, treating infections, and supportive care."
Opportunistic Infections  various depending on type,"Treating specific infections, and improving immune function."
Pneumocystis Jirovecii  cough  fever  difficulty breathing,"Antibiotics (trimethoprim-sulfamethoxazole), and treating HIV."
Toxoplasmosis Encephalitis  headache  confusion  seizures,"Antibiotics (pyrimethamine, sulfadiazine), and treating HIV."
Cryptococcal Meningitis  headache  fever  confusion,"Antifungal medications (amphotericin B, fluconazole), and treating HIV."
CMV Retinitis  vision problems  floaters  blindness,"Antiviral medications (ganciclovir, valganciclovir), and treating HIV."
Kaposi Sarcoma  skin lesions  organ involvement,"Chemotherapy, radiation, and treating HIV."
Non-Hodgkin Lymphoma  swollen lymph nodes  fever  weight loss,"Chemotherapy, radiation, immunotherapy, and sometimes stem cell transplant."
Hodgkin Lymphoma  swollen lymph nodes  fever  night sweats,"Chemotherapy, radiation, and sometimes stem cell transplant."
Leukemia Acute  fatigue  infections  bleeding,"Chemotherapy, stem cell transplant, and supportive care."
Leukemia Chronic  fatigue  sometimes asymptomatic,"Targeted therapy, chemotherapy, and sometimes stem cell transplant."
Multiple Myeloma  bone pain  fatigue  kidney problems,"Chemotherapy, stem cell transplant, and supportive care."
Myelodysplastic Syndromes  fatigue  infections  bleeding,"Supportive care, blood transfusions, and sometimes stem cell transplant."
Aplastic Anemia  fatigue  infections  bleeding,"Immunosuppressive therapy, blood transfusions, and sometimes stem cell transplant."
Hemolytic Anemia  fatigue  jaundice  dark urine,"Treating underlying cause, corticosteroids, and sometimes splenectomy."
Sickle Cell Disease  pain crises  fatigue  infections,"Pain management, hydroxyurea, blood transfusions, and preventing complications."
Thalassemia  fatigue  pale skin  growth problems,"Blood transfusions, chelation therapy, and sometimes stem cell transplant."
Hemophilia  excessive bleeding  joint damage,"Factor replacement therapy, and preventing injuries."
Von Willebrand Disease  bleeding  easy bruising,"Desmopressin, factor replacement, and avoiding medications that worsen bleeding."
Thrombocytopenia  bleeding  easy bruising  petechiae,"Treating underlying cause, corticosteroids, and sometimes splenectomy."
ITP  bleeding  easy bruising  low platelets,"Corticosteroids, IV immunoglobulin, and sometimes splenectomy."
TTP  fever  neurological symptoms  kidney failure,"Plasmapheresis, corticosteroids, and intensive care."
DIC  widespread bleeding  organ failure,"Treating underlying cause, blood products, and intensive care."
Deep Vein Thrombosis  leg swelling  pain  redness,"Blood thinners (anticoagulants), compression stockings, and sometimes thrombolytics."
Pulmonary Embolism  chest pain  shortness of breath  coughing blood,"Immediate blood thinners, thrombolytics if severe, and oxygen therapy."
Atrial Fibrillation  irregular heartbeat  palpitations  stroke risk,"Blood thinners, rate control medications, and sometimes cardioversion or ablation."
Atrial Flutter  rapid heartbeat  palpitations,"Rate control medications, cardioversion, and sometimes ablation."
Ventricular Tachycardia  rapid heartbeat  dizziness  possible cardiac arrest,"Immediate treatment, medications, and sometimes ICD placement."
Ventricular Fibrillation  cardiac arrest  no pulse,"Immediate defibrillation, CPR, and intensive care."
Heart Block  slow heartbeat  dizziness  fainting,"Pacemaker placement, and treating underlying causes."
Sick Sinus Syndrome  irregular heartbeat  dizziness  fainting,"Pacemaker placement, and medications."
Wolff-Parkinson-White  rapid heartbeat  palpitations,"Medications, and sometimes ablation."
Long QT Syndrome  fainting  sudden cardiac arrest,"Beta-blockers, ICD placement, and avoiding triggers."
Brugada Syndrome  fainting  sudden cardiac arrest,"ICD placement, and avoiding triggers."
Hypertrophic Cardiomyopathy  shortness of breath  chest pain  fainting,"Medications, ICD placement, and sometimes surgery."
Dilated Cardiomyopathy  heart failure  shortness of breath  fatigue,"Medications (ACE inhibitors, beta-blockers), and sometimes transplant."
Restrictive Cardiomyopathy  heart failure  shortness of breath,"Treating underlying cause, medications, and sometimes transplant."
Pericarditis  chest pain  fever  sometimes fluid,"Anti-inflammatory medications, and sometimes drainage."
Pericardial Effusion  shortness of breath  chest pressure,"Drainage if severe, and treating underlying cause."
Cardiac Tamponade  severe shortness of breath  low blood pressure,"Immediate drainage, and intensive care."
Endocarditis  fever  heart murmur  sometimes emboli,"IV antibiotics, and sometimes surgery."
Myocarditis  chest pain  shortness of breath  sometimes heart failure,"Supportive care, treating underlying cause, and sometimes heart failure medications."
Heart Failure  shortness of breath  fatigue  swelling,"Medications (ACE inhibitors, diuretics), lifestyle changes, and sometimes devices or transplant."
Coronary Artery Disease  chest pain  shortness of breath,"Lifestyle changes, medications (statins, aspirin), and sometimes angioplasty or bypass."
Angina  chest pain  pressure  sometimes with exertion,"Nitroglycerin, medications, lifestyle changes, and sometimes angioplasty."
Unstable Angina  chest pain  rest  high risk,"Immediate medical attention, medications, and sometimes angioplasty."
Prinzmetal Angina  chest pain  rest  spasm,"Calcium channel blockers, nitrates, and avoiding triggers."
Myocardial Infarction  chest pain  shortness of breath  possible cardiac arrest,"Immediate medical attention, aspirin, angioplasty, and medications."
STEMI  severe chest pain  ST elevation,"Immediate angioplasty or thrombolytics, and intensive care."
NSTEMI  chest pain  no ST elevation,"Medications, and sometimes angioplasty."
Cardiac Arrest  no pulse  unconsciousness,"Immediate CPR, defibrillation, and intensive care."
Aortic Stenosis  shortness of breath  chest pain  fainting,"Valve replacement surgery, and medications."
Aortic Regurgitation  shortness of breath  fatigue,"Valve replacement surgery if severe, and medications."
Mitral Stenosis  shortness of breath  fatigue,"Valve repair or replacement, and medications."
Mitral Regurgitation  shortness of breath  fatigue,"Valve repair or replacement if severe, and medications."
Mitral Valve Prolapse  sometimes asymptomatic  palpitations,"Usually no treatment, medications if symptomatic, and sometimes surgery."
Tricuspid Regurgitation  sometimes asymptomatic  fatigue,"Treating underlying cause, and sometimes surgery."
Pulmonary Hypertension  shortness of breath  fatigue  chest pain,"Medications (vasodilators), oxygen therapy, and sometimes transplant."
Pulmonary Embolism Chronic  shortness of breath  fatigue,"Blood thinners long-term, and sometimes surgery."
ARDS  severe shortness of breath  low oxygen,"Mechanical ventilation, supportive care, and intensive care."
Pneumothorax  sudden chest pain  shortness of breath,"Needle decompression or chest tube, and sometimes surgery."
Pleural Effusion  shortness of breath  chest pain,"Drainage if large, and treating underlying cause."
Pleurisy  chest pain  breathing,"Treating underlying cause, and pain relievers."
Mesothelioma  chest pain  shortness of breath  asbestos exposure,"Surgery, chemotherapy, radiation, and sometimes multimodal therapy."
Lung Cancer Non-Small Cell  cough  chest pain  weight loss,"Surgery, chemotherapy, radiation, targeted therapy, and immunotherapy."
Lung Cancer Small Cell  cough  chest pain  weight loss,"Chemotherapy, radiation, and sometimes surgery."
Bronchiectasis  chronic cough  sputum  infections,"Antibiotics for infections, airway clearance, and sometimes surgery."
Cystic Fibrosis  chronic cough  infections  digestive problems,"Airway clearance, medications, nutritional support, and sometimes transplant."
Alpha-1 Antitrypsin Deficiency  shortness of breath  emphysema,"Augmentation therapy, treating lung disease, and avoiding smoking."
Asbestosis  shortness of breath  cough  asbestos exposure,"Supportive care, oxygen therapy, and preventing further exposure."
Silicosis  shortness of breath  cough  silica exposure,"Supportive care, and preventing further exposure."
Coal Workers Pneumoconiosis  shortness of breath  cough,"Supportive care, and preventing further exposure."
Hypersensitivity Pneumonitis  shortness of breath  cough  exposure,"Avoiding triggers, corticosteroids, and sometimes immunosuppressants."
Sarcoidosis  shortness of breath  cough  sometimes multi-organ,"Corticosteroids, and sometimes immunosuppressants."
Idiopathic Pulmonary Fibrosis  shortness of breath  cough  progressive,"Pirfenidone, nintedanib, oxygen therapy, and sometimes transplant."
Interstitial Lung Disease  shortness of breath  cough,"Treating underlying cause, corticosteroids, and sometimes immunosuppressants."
Goodpasture Syndrome  shortness of breath  kidney problems  blood in urine,"Plasmapheresis, immunosuppressants, and intensive care."
Wegener Granulomatosis  sinus problems  kidney problems  lung problems,"Immunosuppressants, and sometimes intensive care."
Churg-Strauss Syndrome  asthma  sinus problems  sometimes multi-organ,"Corticosteroids, immunosuppressants, and monitoring."
Eosinophilic Pneumonia  shortness of breath  cough,"Corticosteroids, and treating underlying cause."
Pulmonary Alveolar Proteinosis  shortness of breath  cough,"Whole lung lavage, and sometimes medications."
Langerhans Cell Histiocytosis  shortness of breath  sometimes bone lesions,"Corticosteroids, chemotherapy, and sometimes surgery."
Lymphangioleiomyomatosis  shortness of breath  pneumothorax,"Sirolimus, oxygen therapy, and sometimes transplant."
Pulmonary Hypertension Primary  shortness of breath  fatigue,"Medications (vasodilators), and sometimes transplant."
Pulmonary Hypertension Secondary  shortness of breath  underlying cause,"Treating underlying cause, and medications."
Cor Pulmonale  right heart failure  shortness of breath,"Treating underlying lung disease, and heart failure medications."
Sleep Apnea Obstructive  snoring  daytime sleepiness  gasping,"CPAP machine, lifestyle changes, oral appliances, and sometimes surgery."
Sleep Apnea Central  breathing pauses  sometimes heart failure,"Treating underlying cause, adaptive servo-ventilation, and sometimes CPAP."
Obesity Hypoventilation  shortness of breath  daytime sleepiness,"Weight loss, CPAP or BiPAP, and treating underlying conditions."
